employee_id,name,date,start,end,role,shift_type
E001,Sarah Martinez,2026-07-06,14:00,22:30,Pick,Close
E001,Sarah Martinez,2026-07-07,06:00,14:30,Pick,Open
E001,Sarah Martinez,2026-07-08,06:00,14:30,Pick,Day
E001,Sarah Martinez,2026-07-09,06:00,14:30,Pick,Day
E001,Sarah Martinez,2026-07-10,06:00,14:30,Pick,Day
E001,Sarah Martinez,2026-07-11,06:00,14:30,Pick,Day
E002,James Wilson,2026-07-07,06:00,16:30,Pack,Day
E002,James Wilson,2026-07-08,06:00,16:30,Pack,Day
E002,James Wilson,2026-07-09,06:00,16:30,Pack,Day
E002,James Wilson,2026-07-10,06:00,16:30,Pack,Day
E002,James Wilson,2026-07-11,06:00,16:30,Pack,Day
E002,James Wilson,2026-07-12,06:00,16:30,Pack,Day
E004,Marcus Johnson,2026-07-01,07:00,15:30,Stow,Day
E004,Marcus Johnson,2026-07-02,07:00,15:30,Stow,Day
E004,Marcus Johnson,2026-07-03,07:00,15:30,Stow,Day
E004,Marcus Johnson,2026-07-04,07:00,15:30,Stow,Day
E004,Marcus Johnson,2026-07-05,07:00,15:30,Stow,Day
E004,Marcus Johnson,2026-07-06,07:00,15:30,Stow,Day
E004,Marcus Johnson,2026-07-07,07:00,15:30,Stow,Day
E004,Marcus Johnson,2026-07-08,07:00,15:30,Stow,Day
E006,Tyler Brooks,2026-07-07,16:00,22:30,Pack,Evening
E006,Tyler Brooks,2026-07-08,14:00,20:00,Pack,Evening
E006,Tyler Brooks,2026-07-09,14:00,20:00,Pack,Evening
E007,Rosa Hernandez,2026-07-07,10:00,13:00,Stow,Short
E007,Rosa Hernandez,2026-07-08,07:00,15:30,Stow,Day
E007,Rosa Hernandez,2026-07-09,07:00,15:30,Stow,Day
E007,Rosa Hernandez,2026-07-10,07:00,15:30,Stow,Day
E003,Aisha Patel,2026-07-07,07:00,15:30,Pick,Day
E003,Aisha Patel,2026-07-08,07:00,15:30,Pick,Day
E003,Aisha Patel,2026-07-09,07:00,15:30,Pick,Day
E003,Aisha Patel,2026-07-10,07:00,15:30,Pick,Day
E003,Aisha Patel,2026-07-11,07:00,15:30,Pick,Day
E005,Chen Wei,2026-07-07,07:00,15:30,Pick,Day
E005,Chen Wei,2026-07-08,07:00,15:30,Pick,Day
E005,Chen Wei,2026-07-09,07:00,15:30,Pick,Day
E005,Chen Wei,2026-07-10,07:00,15:30,Pick,Day
E005,Chen Wei,2026-07-11,07:00,15:30,Pick,Day
E008,David Kim,2026-07-07,07:00,15:30,Pick,Day
E008,David Kim,2026-07-08,07:00,15:30,Pick,Day
E008,David Kim,2026-07-09,07:00,15:30,Pick,Day
E008,David Kim,2026-07-10,07:00,15:30,Pick,Day
E008,David Kim,2026-07-11,07:00,15:30,Pick,Day
E009,Fatima Ali,2026-07-07,07:00,15:30,Ship,Day
E009,Fatima Ali,2026-07-08,07:00,15:30,Ship,Day
E009,Fatima Ali,2026-07-09,07:00,15:30,Ship,Day
E009,Fatima Ali,2026-07-10,07:00,15:30,Ship,Day
E009,Fatima Ali,2026-07-11,07:00,15:30,Ship,Day
E010,Jake Thompson,2026-07-07,07:00,15:30,Pick,Day
E010,Jake Thompson,2026-07-08,07:00,15:30,Pick,Day
E010,Jake Thompson,2026-07-09,07:00,15:30,Pick,Day
E010,Jake Thompson,2026-07-10,07:00,15:30,Pick,Day
E010,Jake Thompson,2026-07-11,07:00,15:30,Pick,Day
